Words (split by space),anger,disgust,fear,joy,sad,surprise
happy birthday ipod,0,0,0,1,0,0
advantage cardinals with suppan in game,0,0,0,1,0,0
vegetables may boost brain power in older adults,0,0,0,0,0,1
matt shines with his alpine finish,0,0,0,1,0,0
japan s economy grows,0,0,0,1,0,0
believing scripture but playing by science s rules,0,0,0,0,0,1
pig cells hope for diabetes cure,0,0,0,0,0,1
vaccines mandate or choice,0,0,0,0,0,1
tbs to pay m fine for ad campaign bomb scare,0,0,1,0,0,0
bombings say muslim rebels won t negotiate,0,0,1,0,0,0
u s diverts troops to fight taliban,1,0,0,0,0,0
livingstone s transport empire may extend,0,0,0,1,0,0
time to book your cruise,0,0,0,1,0,0
us helicopter crash kills troops in afghanistan,0,0,0,0,1,0
at least die as blast levels baghdad market,0,0,0,0,1,0
cartoon network head steps down,0,0,0,0,1,0
russia condemns terrorist acts on buses outside beirut,0,0,0,0,1,0
ice storms kill across nation,0,0,0,0,1,0
paula abdul i have never been drunk,0,0,0,0,0,1
bookworm adventures wordsmith s joy,0,0,0,1,0,0
new cancer drug to save a thousand lives a year,0,0,0,1,0,0
park stars as united maintain lead,0,0,0,1,0,0
edwards blogger quits becomes journalistic martyr,0,0,0,0,0,1
families celebrate return of sons,0,0,0,1,0,0
no intention of war with iran us says,0,0,0,1,0,0
video games can improve your vision,0,0,0,0,0,1
mickelson driving force at masters,0,0,0,1,0,0
anti u s attack videos spread on the internet,1,0,0,0,0,0
cisco sues apple over iphone name,1,0,0,0,0,0
beckham posh and more athlete celebrity couples,0,0,0,1,0,0
roots of autism more complex than thought,0,0,0,0,0,1
annual diving contest in south korea proves a chilly challenge,0,0,0,0,0,1
spanish journalist seized in gaza,0,0,1,0,0,0
microsoft sony we have a problem,0,0,0,0,0,1
us soldiers die in day of violence,0,0,0,0,1,0
u s gunman was srebrenica survivor,0,0,0,0,0,1
germany agonizes over a brain drain,0,0,0,0,1,0
marathon winner released from hospital,0,0,0,1,0,0
gronholm takes a commanding lead,0,0,0,1,0,0
surprise china cuts price of gas,0,0,0,1,0,0
why the smell of a man s armpit is a turn on,0,0,0,0,0,1
sexualisation harms young girls,1,0,0,0,0,0
antibiotic ketek more dangerous than thought,0,0,1,0,0,0
south african trio share advantage,0,0,0,1,0,0
alaska town cut off from rest of state by flood,0,0,1,0,0,0
panel issues bleak report on climate change,0,0,1,0,0,0
abbas condemns israeli massacre in northern gaza strip,0,1,0,0,0,0
questions on credit card safety,0,0,1,0,0,0
bigger more aggressive rats infesting uk,0,0,1,0,0,0
philippine president welcomes senate approval of anti terror bill,0,0,0,1,0,0
earthlink ceo dies at age,0,0,0,0,1,0
action games improve eyesight,0,0,0,0,0,1
desperate iraqi mother relies on militia for help,0,0,0,0,1,0
foreign minister of colombia quits in scandal,0,1,0,0,0,0
get ready for the earnings,0,0,0,1,0,0
europe take big royal trophy lead,0,0,0,1,0,0
clijsters looks for a long goodbye,0,0,0,0,1,0
bebe neuwirth gets to wiggle again,0,0,0,1,0,0
kylie s love split,0,0,0,0,1,0
bridge blast stops i traffic,0,0,1,0,0,0
passing exchange becomes political flashpoint,1,0,0,0,0,0
rocky start for bangkok airport,0,0,0,0,0,1
nfl team s fan of the year flag lady,0,0,0,1,0,0
super bowl mvp manning insists he s one of the guys,0,0,0,1,0,0
oregon snorkeler mistaken for rodent shot in face,0,0,0,0,1,0
turkmen acting leader sworn in as new president,0,0,0,1,0,0
dolphins sea lions may report for duty soon,0,0,0,1,0,0
police warn of child exploitation online,0,1,0,0,0,0
floods force malaysia evacuations,0,0,0,0,1,0
kidnapped ap photographer freed in gaza,0,0,1,0,0,0
navarrette minutemen have a right to be idiotic,0,0,0,0,1,0
vaccine mandate upsets legislators,1,0,0,0,0,0
sex torture claims hit russia army,0,1,0,0,0,0
man beheaded in southern thailand,0,0,0,0,1,0
de villiers stretches overall lead,0,0,0,1,0,0
airbus a superjumbo takes off,0,0,0,1,0,0
for women nothing s like the smell of men s sweat,0,0,0,0,0,1
tariq ramadan has an identity issue,0,0,0,0,0,1
study men s sweat triggers high sexual arousal in women,0,0,0,0,0,1
blair terror battle will be long,0,0,1,0,0,0
fingers crossed for north korea,0,0,0,1,0,0
warner will not run in,0,0,0,0,1,0
blake defeats moya to retain title,0,0,0,1,0,0
nicole kidman asks dad to help stop husband s drinking,0,0,0,0,1,0
bush it s time for congress to back energy plan,0,0,0,1,0,0
fuel spill may lead to missing jet,0,0,1,0,0,0
paterson boots scotland to victory,0,0,0,1,0,0
here come the globes,0,0,0,1,0,0
shareholders sue apple,1,0,0,0,0,0
bellsouth says profit rises on cingular earnings,0,0,0,1,0,0
lies damned lies and divorce,0,0,0,0,1,0
judge dismisses karr s porn case,0,0,0,0,0,1
male sweat can raise hormones,0,0,0,0,0,1
founder returns to dell helm,0,0,0,1,0,0
anger at release of two held over beheading plot,1,0,0,0,0,0
move to ban ipods from crossing the street,0,0,0,0,0,1
did nasa accidentally kill life on mars,0,0,0,0,0,1
briefly preloaded ipods wal mart movies apple stores,0,0,0,1,0,0
peter jackson will never work for me again,1,0,0,0,0,0
china considers eurobond reserves,0,0,0,1,0,0
student starts white men s club on campus,0,0,0,0,1,0
depp to make litvinenko movie,0,0,0,1,0,0
probe under way in yankee crash,0,0,0,0,1,0
tom cruise and katie holmes set wedding date,0,0,0,1,0,0
toddler died from tainted spinach,0,0,0,0,1,0
technology may save india s river dolphins,0,0,0,1,0,0
roddick overcomes federer in final,0,0,0,1,0,0
sarkozy letter surprises french cartoons hearing,0,0,0,0,0,1
dem leader s million land deal under scrutiny,1,0,0,0,0,0
barack obama formally announces bid for president,0,0,0,1,0,0
cutting edge accessories for digital music players,0,0,0,1,0,0
swiss plane crashes at moscow airport,0,0,0,0,1,0
federer handed tough aussie draw,0,0,0,0,1,0
two muslim groups sue french newspaper international,1,0,0,0,0,0
sony apologises for global battery recall,0,0,0,0,1,0
merkel stop iran,0,0,1,0,0,0
peter pan flies into chapter two,0,0,0,0,0,1
bush officials no big move in iraq plan,0,0,1,0,0,0
taliban leader killed in airstrike,0,0,0,0,1,0
amazon com has best ever sales,0,0,0,1,0,0
iran s president urges higher birth rate,0,0,0,0,0,1
dryer blamed for fire killing cats dogs,0,0,0,0,1,0
hannibal bites the big one,0,0,0,0,0,1
woman fights to keep drunken driver in jail,1,0,0,0,0,0
no evidence of ice reserves on the moon,0,0,0,0,1,0
now it s official iraq s a mess,0,0,0,0,1,0
teen hacks venezuelan government web sites,0,0,0,0,0,1
us millions fail to buy influence in deadly gaza power play,0,0,0,0,1,0
new mars orbiter spots pathfinder landing site,0,0,0,1,0,0
two hussein allies are hanged iraqi official says,0,0,0,0,1,0
japan whaling activists terrorists,0,0,1,0,0,0
cravings still there sez tara,0,0,0,1,0,0
microsoft downplays vista speech recognition hack,0,0,0,1,0,0
terror network,0,0,1,0,0,0
women face greatest threat of violence at home study finds,0,1,0,0,0,0
after iraq trip clinton proposes war limits,0,0,0,1,0,0
donald and goydos share sony lead,0,0,0,1,0,0
bp ceo browne to step down in june,0,0,0,0,1,0
iran steps up production of weapons grade uranium,0,0,1,0,0,0
foetal mechanism helps heart failure,0,0,0,0,0,1
pluto s revenge word of the year award,0,0,0,1,0,0
tell your boss naps are good for you,0,0,0,1,0,0
subway collapse caught on camera,0,0,0,0,1,0
dead in apartment building fire,0,0,0,0,1,0
investigation of child porn site hits nations usa today,0,1,0,0,0,0
tropical storm isaac forms in atlantic,0,0,1,0,0,0
students use im lingo in essays,0,0,0,0,0,1
super bowl ads of cartoonish violence perhaps reflecting toll of war,0,0,0,0,1,0
essay about that mean streak of yours psychiatry can do only so much,0,0,0,0,1,0
a personal plea for hpv vaccine plan,0,0,0,1,0,0
chefs not counting calories study finds,0,0,0,0,1,0
indonesia will not share flu samples,0,0,0,0,0,1
guinea plan offices close as country declares emergency,0,0,1,0,0,0
snow brings travel misery to england,0,0,0,0,1,0
iraqi death toll exceeded in united nations says,0,0,0,0,1,0
observatory poison begets poison,0,0,1,0,0,0
in the world of life saving drugs a growing epidemic of deadly fakes,0,0,0,0,1,0
vietnam becomes wto s th member,0,0,0,1,0,0
microsoft to release next generation phone,0,0,0,1,0,0
high cholesterol raises stroke risk healthy women,0,0,1,0,0,0
vital signs mental abilities folic acid may improve thinking skills,0,0,0,0,0,1
walnuts combat unhealthy fats,0,0,0,1,0,0
die as us helicopter crashes in iraq,0,0,0,0,1,0
madonna files adoption papers,0,0,0,1,0,0
nails on chalkboard study earns ig,0,1,0,0,0,0
kanishka bombing case inquiry judge threatens to quit,0,1,0,0,0,0
participant in water drinking contest dies,0,0,0,0,1,0
botched hangings in iraq speed sectarianism,0,0,1,0,0,0
israel intensifies military flights over lebanon,0,0,1,0,0,0
findings can humanity survive want to bet on it,0,0,1,0,0,0
resolution approved for international games,0,0,0,1,0,0
cooking defines sephardic jews at sukkot,0,0,0,1,0,0
leo battles himself,0,0,0,1,0,0
north korea may begin to dismantle nukes,0,0,0,1,0,0
marathon victory comes at heavy cost,0,0,0,1,0,0
iran top n envoy heads for vienna for nuke talks,0,0,0,1,0,0
the sweet tune of an anniversary,0,0,0,1,0,0
ice storm brings chaos in u s,0,0,1,0,0,0
beijing journal olympic construction unearths ancient treasure trove,0,0,0,1,0,0
cooked chicken breasts join tainted food recalls,0,0,1,0,0,0
double bus bombing kills three in lebanon,0,0,0,0,1,0
martins leads newcastle fightback,0,0,0,1,0,0
cagney lacey finally coming to dvd,0,0,0,1,0,0
u s urged to lead on green actions,0,0,0,1,0,0
grey s pirates lead people s choice,0,0,0,1,0,0
cheney starts visit to japan australia,0,0,0,1,0,0
massive mud traps dozens of families,0,0,0,0,1,0
this week in auto racing october october,0,0,0,1,0,0
stomp the yard has winning moves in its weekend debut,0,0,0,1,0,0
friends for life an emerging biology of emotional healing,0,0,0,1,0,0
youtube told to drop celeb sex video,0,0,0,0,0,1
werder make man ajax pay price,0,0,0,1,0,0
seduced by snacks no not you,0,1,0,0,0,0
updates on world s top stories,0,0,1,0,0,0
india s taj mahal gets facelift,0,0,0,1,0,0
asia seeks breakthrough on north korea,0,0,0,0,0,1
good news for slackers naps may cut risk for heart problems,0,0,0,1,0,0
kentucky wants to ban alcohol inhalers,0,0,0,0,0,1
seahawks bears vie for shot at nfl title,0,0,0,1,0,0
body shop s roddick has hepatitis c,0,0,0,0,1,0
obama will run in,0,0,0,1,0,0
house ethics panel talks to hastert aide,0,0,0,1,0,0
in kenya s capital a sense that danger is ever stronger,0,0,1,0,0,0
don t miss tax breaks,0,0,0,1,0,0
indonesia flood forces from homes,0,0,0,0,1,0
baseball rogers enjoys his muddied streak,0,0,0,1,0,0
for women aspirin a day could keep stroke away,0,0,0,1,0,0
ronnie and eto o hug and make up,0,0,0,1,0,0
in washington contractors take on biggest role ever,0,0,0,0,0,1
second opinion girl or boy as fertility technology advances so does an ethical debate,0,0,0,0,0,1
ba to charge for an extra bag,0,0,0,0,0,1
nuke detectors to ring new york official says,0,0,1,0,0,0
did viking probes miss life on mars,0,0,0,0,0,1
too little sleep may mean too fat kids,0,0,0,0,0,1
gunmen kill in iraq tv raid,0,0,0,0,1,0
feeding your brain new benefits found in chocolate,0,0,0,1,0,0
up to inches of snow in forecast,0,0,0,0,0,1
storms kill knock out power cancel flights,0,0,1,0,0,0
russian ship sinks member crew missing,0,0,0,0,1,0
iran to hit us interests if attacked,0,0,1,0,0,0
snow s too deep even for snowmobiles,0,0,0,0,0,1
will rob cohen direct third mummy,0,0,0,0,0,1
area should get inches of snow today,0,0,0,1,0,0
embattled edwards blogger quits campaign,0,0,0,0,1,0
tsunami fears ease after quake,0,0,1,0,0,0
a police state the issues,0,0,1,0,0,0
russia honors sputnik designer,0,0,0,1,0,0
thousands tested after russian h n outbreak,0,0,1,0,0,0
china says rich countries should take lead on global warming,0,0,0,0,1,0
iran to hit us interests if attacked,0,0,1,0,0,0
flu vaccine appears safe for young children,0,0,0,1,0,0
dead in lebanese minibus bombings,0,0,0,0,1,0
tumor types may explain survival rates for cancer,0,0,0,0,1,0
us to prod nato allies for more troops to defeat taliban,0,0,1,0,0,0
hacker unlocks apple music download protection,0,0,0,0,0,1
moderate drinking reduces men s heart attack risk,0,0,0,1,0,0
yankee pitcher s pilot log found,0,0,0,0,0,1
an old letter casts doubts on iran s goal for uranium,0,0,0,0,0,1
queen battles bond for baftas,0,0,0,1,0,0
travel leisure next island hot spot st lucia,0,0,0,1,0,0
new mccain team made attack ads he once faulted,1,0,0,0,0,0
somali pm vows to bring islamists to justice,1,0,0,0,0,0
sri lanka floods displace,0,0,0,0,1,0
presto he s batman then magic man,0,0,0,0,0,1
across europe worries on islam spread to center,0,0,0,0,1,0
in rigorous test talk therapy works for panic disorder,0,0,0,1,0,0
bad reasons to be good,0,0,0,0,1,0
nigeria hostage feared dead is freed,0,0,0,1,0,0
indonesia may sell not give bird flu virus to scientists,0,0,1,0,0,0
findings a cool million for a climate backup plan,0,0,0,0,0,1
underarm bowls them over,0,0,0,0,0,1
lawyer seizes smith s bahamas home,0,0,0,0,1,0
apple to vista upgraders wait,0,0,0,0,0,1
filipino woman kidnapped in nigeria,0,0,1,0,0,0
ozzy a hero for the hard rocking masses,0,0,0,1,0,0
obama i m running for president,0,0,0,1,0,0
napping is good for your heart study finds,0,0,0,1,0,0
cisco sues apple over iphone name,1,0,0,0,0,0
u s and iraqis are wrangling over war plans,0,0,1,0,0,0
u s troops killed hunting weapons cache,0,0,0,0,1,0
work starts on arctic seed vault,0,0,0,1,0,0
apple no itunes for you if you have vista,0,0,0,0,0,1
rice in baghdad insists that iraqis are,1,0,0,0,0,0
barbaro s legacy saving other horses,0,0,0,1,0,0
alpha dog misses the point,0,0,0,0,0,1
vegetables not fruit slow brain decline,0,0,0,0,0,1
bomb kills on military bus in iran,0,0,0,0,1,0
female astronaut sets record,0,0,0,1,0,0
arroyo lauds passage of anti terror bill,0,0,0,1,0,0
reopening bird flu hitfactory ignores risks poultryman,0,0,1,0,0,0
alonso would be happy to retire with three titles,0,0,0,1,0,0
south korea fire kills foreigners,0,0,0,0,1,0
largest ever autism study identifies two genetic culprits,0,0,0,0,0,1
update plane crashes at moscow airport no passengers,0,0,0,0,1,0
sarkozy heads for clash in cartoons row,1,0,0,0,0,0
israel weighs old city project webcast,0,0,0,0,0,1
mogadishu residents flee blasts,0,0,1,0,0,0
disturbing finds in child sex raids,0,1,0,0,0,0
bryant s boot may have salvaged bucs season,0,0,0,1,0,0
clinical everton show moyes means business,0,0,0,1,0,0
indonesian with bird flu dies,0,0,0,0,1,0
really the claim the pill can make you put on weight,0,0,0,0,0,1
test to predict breast cancer relapse is approved,0,0,0,1,0,0
iraq unveils new security plans,0,0,0,0,0,1
enron boss gets year sentence,0,0,0,0,1,0
rights group halts violent nepal strikes,0,0,0,1,0,0
steelers roethlisberger has concussion,0,0,0,0,1,0
study more kids exposed to online porn,0,1,0,0,0,0
north korea ready to discuss first steps to nuclear resolution,0,0,0,1,0,0
diabetic waits months for eyeglasses,0,0,0,0,1,0
record shattering day on wall st,0,0,0,1,0,0
microsoft supports openid authentication standard,0,0,0,1,0,0
u s says powerful iraqi cleric is living in iran,0,0,1,0,0,0
thailand attacks kill three injure,0,0,0,0,1,0
czechs poles get missile warning,0,0,1,0,0,0
london is pace setter on congestion toll says mayor,0,0,0,1,0,0
smith baby may not be pot of gold,0,0,0,0,1,0
small jet crashes on takeoff killing,0,0,0,0,1,0
regular naps make hearts healthy,0,0,0,1,0,0
north korea aid demand stall talks,0,0,0,0,1,0
israel s peretz urges halt to contentious jerusalem construction,1,0,0,0,0,0
retinal implant helping blind people see again,0,0,0,1,0,0
china denies reports of north korean apology,0,0,0,0,0,1
aquarium puts ailing beluga whale to sleep,0,0,0,0,1,0
tiempo libre has grammy dreams,0,0,0,1,0,0
israeli woman s tirade spurs pm outrage,1,0,0,0,0,0
somali refugees cut off from aid,0,0,0,0,1,0
united nations peacekeepers raid haitian slum,0,0,0,1,0,0
cheney to congress can t run iraq war by committee,1,0,0,0,0,0
magazine lists women who had abortions,1,0,0,0,0,0
murphys rule box office with norbit,0,0,0,1,0,0
samsung settles price fixing lawsuit,0,0,0,1,0,0
bb star jackson denies goody comments,0,1,0,0,0,0
horse teeth give details of ancient big chill,0,0,0,0,0,1
costner appeals in casino wrangle,1,0,0,0,0,0
ancient coin shows cleopatra was no beauty,0,0,0,0,0,1
bear cub returned to the wilderness,0,0,0,1,0,0
software giant sap misses target,0,0,0,0,1,0
hunters stalk world s tallest trees,0,0,0,0,1,0
merriman violation stuns ex teammate,0,0,0,0,0,1
singapore pampers its waterfront promenade,0,0,0,1,0,0
reunited police to start world tour in may,0,0,0,1,0,0
ice storm descends on central u s,0,0,1,0,0,0
iran warns will hit back at us if attacked,0,0,1,0,0,0
township tourism booming in south africa,0,0,0,1,0,0
howard presses bush on terror suspect,0,0,1,0,0,0
palestinian factions to resume talks,0,0,0,1,0,0
psych checks reviewed after astronaut s crack up,0,0,0,0,1,0
african americans are organ donors these days but what about bone marrow,0,0,0,0,0,1
german chief forges accord on financing health care,0,0,0,1,0,0
venezuela iran fight u s dominance,1,0,0,0,0,0
space com black hole triplets spotted,0,0,0,0,0,1
archaeologists find signs of early chimps tool use,0,0,0,0,0,1
king and queen reign at british film awards,0,0,0,1,0,0
far away super bowl s losers will be champs,0,0,0,1,0,0
survey tech a tool in teen dating abuse,0,0,0,0,1,0
south africa mourns adelaide tambo,0,0,0,0,1,0
google to unveil election mashup,0,0,0,0,0,1
really the claim the back seat of a car is the safest place to sit,0,0,0,0,0,1
miss brazil wins lawsuit competition,0,0,0,1,0,0
see if your city is one of the united states top fittest or fattest,0,0,0,0,0,1
panda cub makes her debut,0,0,0,1,0,0
perfect lives lose their focus,0,0,0,1,0,0
beckham goal helps real snatch win,0,0,0,1,0,0
eu document iranian bomb unstoppable,0,0,1,0,0,0
wii news for gamers,0,0,0,1,0,0
scientist snoops in astronauts journals,0,1,0,0,0,0
storm causes slick icy roads,0,0,1,0,0,0
personal health for teenagers the car is the danger zone,0,0,1,0,0,0
catholic archbishop outlines anglican merger hopes,0,0,0,1,0,0
champion murray too good for kim,0,0,0,1,0,0
christian values guide dungy and the colts,0,0,0,1,0,0
tropical storm paul s outer bands hit mexico s baja california,0,0,0,0,1,0
iraqi health minister seized in raid,0,0,0,0,0,1
hicks first in line for trial bush says,0,0,1,0,0,0
prehistoric lovers found locked in eternal embrace,0,0,0,0,0,1
judge threatens to shut down air india inquiry,1,0,0,0,0,0
bird watchers flock to see rare owl,0,0,0,1,0,0
photographer kidnapping condemned,0,1,0,0,0,0
melua s deep sea gig sets record,0,0,0,1,0,0
pound will not drop armstrong case,1,0,0,0,0,0
three drivers had reason to be proud in brazil,0,0,0,1,0,0
female astronaut sets record,0,0,0,1,0,0
scam lures victims with free puppy offer,0,0,0,0,0,1
violence continues at disputed holy site,0,0,0,0,1,0
google executive acts as goodwill envoy,0,0,0,1,0,0
who are you calling fat,0,1,0,0,0,0
fda revises label warnings on the antibiotic ketek,0,0,0,1,0,0
ex virginia gov not running for president,0,0,0,0,0,1
thousands rally in lebanon,0,0,1,0,0,0
allmendinger joining toyota team in nascar,0,0,0,1,0,0
iraqi sunni lands show new oil and gas promise,0,0,0,1,0,0
game on london exhibition celebrates the history of video games,0,0,0,1,0,0
james brown s partner can get her things,0,0,0,1,0,0
apple trademark dispute settled,0,0,0,1,0,0
russia plans major military build up,0,0,1,0,0,0
asian nations urge myanmar reform,0,0,0,0,0,1
kathmandu first snow in years,0,0,0,0,0,1
iraqi sunni lands show new oil and gas promise,0,0,0,1,0,0
accord on north korea is announced,0,0,0,1,0,0
peru leader questioned in massacre probe,0,0,0,0,1,0
cher auction fetches double pre sale estimates,0,0,0,1,0,0
new gadgets galore at tech show,0,0,0,1,0,0
anna nicole smith s bahamas home seized,0,0,0,0,1,0
hackers strike at key internet servers,1,0,0,0,0,0
israel says hopes to keep lebanon border calm,0,0,0,1,0,0
sunshine goydos wins sony open,0,0,0,1,0,0
ps pricey but impressive,0,0,0,1,0,0
fortune india the superpower think again,0,0,0,0,0,1
friendly fire pilot experienced,0,0,1,0,0,0
male sweat raises female hormones,0,0,0,0,0,1
plo ministers agreed upon in mecca,0,0,0,1,0,0
rescued boys parents hail miracle,0,0,0,1,0,0
peretz orders idf to respond with force to north border attacks,1,0,0,0,0,0
scientists create first cloaking device,0,0,0,1,0,0
howell takes one shot lead in sony open,0,0,0,1,0,0
here is some advice to take to heart,0,0,0,0,0,1
u s to allow iraqi refugees,0,0,0,1,0,0
vital signs hazards antidepressant linked to fractures in older people,0,0,0,0,0,1
unilever group names new chairman,0,0,0,1,0,0
allied with democrats lieberman easily aligns with republicans,0,0,0,0,0,1
bush insists troops stay in iraq predicts midterm victory,0,1,0,0,0,0
how to prevent iraq from getting even worse,0,0,1,0,0,0
bears fan loses bet and changes name,0,0,0,0,0,1
kuerten returns to winners circle,0,0,0,1,0,0
a small part of the brain and its profound effects,0,0,0,0,0,1
samba school leader killed before rio carnival,0,0,0,0,1,0
cutting through the clutter to get things done,0,0,0,1,0,0
madrid bombings trial begins,0,0,1,0,0,0
snow causes airport closures in britain,0,0,0,0,1,0
university offers support to new orleans school,0,0,0,1,0,0
talks begin on somalia peacekeepers,0,0,0,1,0,0
eight years for damilola killers,0,0,0,0,1,0
official laughs for borat,0,0,0,1,0,0
loving with all your brain,0,0,0,0,0,1
new iraq terror tape calls for abducting foreigners,0,0,1,0,0,0
congolese soldiers riot loot over pay issue,1,0,0,0,0,0
equipment on plane in brazil collision may have been faulty,0,0,0,0,1,0
cuban official web a wild colt,0,0,1,0,0,0
sony hates europeans will prevent the importing of ps,1,0,0,0,0,0
committee debates cancer vaccine plan,0,0,0,0,0,1
cleric said to lose reins over part of iraqi militia,0,0,0,0,1,0
experts fear likely shackled boy,0,0,1,0,0,0
afghan poppy war alienates farmers,0,0,0,0,1,0
kentucky seeks alcohol huffing ban,0,0,0,1,0,0
russian ship sinks in pacific,0,0,0,0,1,0
waste plant fire forces to evacuate,0,0,0,0,1,0
students lose their rite of passage,0,0,0,0,1,0
russia warns us against missile bases in east europe,0,0,1,0,0,0
more human remains found at ground zero,0,0,0,0,1,0
google buys youtube for bn,0,0,0,0,0,1
with youtube grad student hits jackpot again,0,0,0,1,0,0
u s at odds with cleric s aide,0,0,1,0,0,0
edwards campaign blogger quits amid catholic controversy,0,0,0,0,0,1
salt lake city mall shooter was teenager,0,0,0,0,1,0
inter milan set serie a win record,0,0,0,1,0,0
iraqi suicide attack kills two us troops as militants fight purge,0,0,0,0,1,0
italy to try us soldier for agent s iraq death,1,0,0,0,0,0
life in gaza steadily worsens,0,0,0,0,1,0
utah gunman survived srebrenica,0,0,0,1,0,0
test cricketer jailed over killing,0,0,0,0,1,0
united finds good connection in win,0,0,0,1,0,0
opportunity knocks on geologist s dream crater,0,0,0,1,0,0
turkmenistan votes for president,0,0,0,1,0,0
ottawa must redefine terror,0,0,1,0,0,0
morrissey may cheer up eurovision,0,0,0,1,0,0
youtube yields surprising payback,0,0,0,0,0,1
isinbayeva sets th world record,0,0,0,1,0,0
virtual american idol hits right notes,0,0,0,1,0,0
astronaut may have buckled under stress,0,0,0,0,1,0
putin u s force fostering nuke ambitions,0,0,1,0,0,0
troops massing around somali town,0,0,1,0,0,0
royal seeks to revive french bid,0,0,0,1,0,0
search on for victims of subway collapse,0,0,0,0,1,0
republicans plan to block iraq debate,1,0,0,0,0,0
dad locked up son watched on tv police say,0,0,0,0,1,0
mother daughter stabbed near school,0,0,0,0,1,0
trolley square shooting leaves dead including gunman,0,0,0,0,1,0
defense to challenge russert s credibility,0,0,0,0,0,1
wilkinson sets record in tame win,0,0,0,1,0,0
ingredient in male sweat raises women s hormone levels,0,0,0,0,0,1
iran reneges on nuclear payments to russia,0,0,1,0,0,0
nasa revisiting life on mars question,0,0,0,0,0,1
sights and sounds from ces,0,0,0,1,0,0
oracle world opens with dell unveiling amd powered computers,0,0,0,1,0,0
experts offer advice on salmonella,0,0,0,1,0,0
stinky flower mystery solved,0,0,0,1,0,0
in the rockies pines die and bears feel it,0,0,0,0,1,0
beyonce in a bikini as si s swimsuit cover model,0,0,0,1,0,0
seahawks qb hasselbeck out weeks,0,0,0,0,1,0
